Timestamp,Day,Sleep,Meals,School,Homework,Working,Grooming,Travel,Chores,Online_School,Online_Social,Friends,Tv_Streaming,Videogames,Sports,Reading,Hobbies,Music,Other
10/27/2022 10:08:27,Thursday,510,80,425,120,0,40,55,0,0,0,135,0,0,0,30,0,45,0
10/27/2022 10:09:26,Wednesday,535,65,420,90,0,25,115,25,60,45,0,30,0,0,0,30,0,0
10/27/2022 10:10:53,Friday,360,90,425,40,0,35,60,0,0,0,120,250,0,0,0,0,60,0
10/27/2022 10:11:00,Thursday,545,70,425,30,0,30,110,25,60,80,20,35,0,0,10,0,0,0
10/27/2022 10:11:44,Thursday,390,105,380,90,0,50,120,20,0,15,0,25,40,0,100,30,75,0
10/27/2022 10:12:37,Friday,480,95,395,65,0,30,110,5,55,60,25,0,0,0,50,0,70,0
10/27/2022 10:13:36,Saturday,480,170,0,0,0,80,70,75,0,5,290,0,0,0,0,190,80,0
10/27/2022 10:14:10,Saturday,690,50,0,40,0,40,70,20,150,120,180,30,0,0,0,15,35,0
10/27/2022 10:14:23,Wednesday,440,120,425,245,0,45,90,15,0,0,0,0,60,0,0,0,0,0
10/27/2022 10:15:14,Sunday,690,70,0,125,0,0,0,240,45,90,0,150,0,0,0,30,0,0
10/27/2022 10:16:20,Sunday,510,55,0,360,0,35,4,108,0,10,120,0,0,0,0,0,198,40
10/27/2022 10:46:38,Saturday,720,100,0,140,0,40,10,40,0,230,0,120,0,0,0,0,40,0
10/27/2022 10:47:56,Wednesday,540,0,435,30,0,80,65,3,0,32,0,0,0,0,0,0,0,255
10/27/2022 10:49:24,Thursday,510,60,435,260,0,20,30,10,0,0,0,70,0,0,0,0,45,0
10/27/2022 10:50:12,Wednesday,480,23,360,195,15,0,12,30,0,130,10,20,0,0,0,0,165,0
10/27/2022 10:51:01,Friday,510,90,450,160,0,10,35,20,0,15,0,150,0,0,0,0,0,0
10/27/2022 10:52:29,Saturday,620,125,0,90,0,10,130,25,0,25,0,165,0,0,15,0,0,235
10/27/2022 10:53:54,Sunday,450,35,0,60,0,45,65,0,0,25,0,50,0,330,0,0,0,380
10/27/2022 11:09:49,Thursday,600,55,360,40,0,0,0,120,45,70,0,0,0,120,0,0,30,0
10/27/2022 11:11:23,Friday,540,95,360,120,0,0,35,0,0,150,60,0,0,0,0,0,0,0
10/27/2022 11:12:38,Saturday,540,245,0,0,0,120,160,0,0,200,0,0,0,95,0,0,80,0
10/27/2022 11:15:04,Sunday,840,20,0,0,0,130,30,130,0,45,245,0,0,0,0,0,0,0
10/27/2022 12:05:12,Wednesday,345,90,195,125,0,25,60,0,160,120,0,90,30,0,170,30,0,0
10/27/2022 12:05:29,Wednesday,450,100,485,60,0,40,75,0,20,0,10,30,0,90,80,0,0,0
10/27/2022 12:07:32,Thursday,270,115,355,110,0,30,40,10,40,105,0,70,40,0,180,45,30,0
10/27/2022 13:39:22,Wednesday,660,80,355,0,0,25,40,110,0,35,45,50,0,0,40,0,0,0
10/27/2022 13:41:38,Thursday,650,105,355,45,0,15,70,30,0,0,10,0,0,0,0,0,0,150
10/27/2022 13:44:13,Friday,450,120,380,0,0,45,60,10,0,0,25,100,0,0,20,230,0,0
10/27/2022 13:47:30,Saturday,590,95,0,80,0,30,90,0,0,45,0,120,0,0,0,150,30,210
